customer_id,signup_date,plan_type,monthly_fee,acquisition_cost,churn_date
1001,2024-11-07,Basic,50,30,Null
1002,2024-06-06,Basic,50,30,Null
1003,2024-12-31,Basic,50,30,Null
1004,2024-11-21,Pro,200,100,Null
1005,2024-08-16,Pro,200,100,Null
1006,2024-11-10,Basic,50,30,Null
1007,2024-03-12,Enterprise,500,200,Null
1008,2024-11-09,Pro,200,100,Null
1009,2024-08-16,Pro,200,100,Null
1010,2025-04-07,Pro,200,100,Null
1011,2025-03-31,Basic,50,30,Null
1012,2025-02-24,Enterprise,500,200,Null
1013,2025-04-03,Pro,200,100,Null
1014,2025-03-22,Enterprise,500,200,Null
1015,2025-04-02,Pro,200,100,Null
1016,2024-08-02,Enterprise,500,200,Null
1017,2024-05-06,Pro,200,100,Null
1018,2024-03-31,Pro,200,100,Null
1019,2024-06-29,Basic,50,30,Null
1020,2024-10-13,Pro,200,100,2025-05-08
1021,2024-04-29,Pro,200,100,2024-06-21
1022,2024-03-22,Enterprise,500,200,Null
1023,2024-12-15,Basic,50,30,2025-06-23
1024,2024-10-22,Basic,50,30,Null
1025,2024-03-13,Enterprise,500,200,Null
1026,2025-03-27,Pro,200,100,2025-06-10
1027,2024-06-12,Pro,200,100,Null
1028,2025-01-13,Enterprise,500,200,Null
1029,2025-06-25,Enterprise,500,200,Null
1030,2024-11-18,Enterprise,500,200,Null
1031,2024-04-08,Pro,200,100,2024-12-14
1032,2025-02-04,Pro,200,100,Null
1033,2025-03-07,Basic,50,30,Null
1034,2024-04-06,Basic,50,30,2025-04-06
1035,2024-07-31,Basic,50,30,2025-05-02
1036,2024-05-07,Enterprise,500,200,Null
1037,2024-11-30,Pro,200,100,Null
1038,2024-01-28,Enterprise,500,200,Null
1039,2025-04-22,Basic,50,30,Null
1040,2024-05-16,Enterprise,500,200,Null
1041,2024-06-21,Pro,200,100,Null
1042,2024-04-18,Pro,200,100,2025-03-19
1043,2025-01-27,Enterprise,500,200,2025-03-11
1044,2025-02-28,Pro,200,100,Null
1045,2025-06-30,Pro,200,100,Null
1046,2024-09-18,Pro,200,100,Null
1047,2025-01-05,Basic,50,30,2025-04-20
1048,2024-08-25,Enterprise,500,200,Null
1049,2024-05-15,Pro,200,100,Null
1050,2024-06-30,Pro,200,100,Null
1051,2025-01-10,Pro,200,100,Null
1052,2024-05-03,Basic,50,30,Null
1053,2024-12-15,Enterprise,500,200,Null
1054,2024-03-09,Pro,200,100,Null
1055,2024-03-30,Enterprise,500,200,Null
1056,2024-10-12,Pro,200,100,2024-12-15
1057,2024-04-05,Basic,50,30,Null
1058,2025-06-03,Enterprise,500,200,Null
1059,2024-02-05,Enterprise,500,200,Null
1060,2025-03-31,Basic,50,30,2025-06-10
1061,2025-02-08,Basic,50,30,Null
1062,2025-05-13,Pro,200,100,2025-06-12
1063,2024-07-28,Pro,200,100,Null
1064,2025-05-02,Basic,50,30,Null
1065,2024-07-25,Enterprise,500,200,Null
1066,2024-12-10,Enterprise,500,200,Null
1067,2025-02-23,Enterprise,500,200,Null
1068,2024-03-05,Pro,200,100,Null
1069,2024-02-16,Enterprise,500,200,Null
1070,2024-01-10,Pro,200,100,Null
1071,2024-11-15,Enterprise,500,200,Null
1072,2025-02-24,Pro,200,100,Null
1073,2024-01-08,Enterprise,500,200,Null
1074,2024-08-09,Enterprise,500,200,2025-05-13
1075,2024-10-14,Enterprise,500,200,2025-06-25
1076,2024-12-26,Enterprise,500,200,Null
1077,2024-06-04,Basic,50,30,Null
